,pai,month,year,polygon_id
0,3.676016539746567,1,2020,1
1,3.368554249277427,1,2020,2
2,2.606483341383648,1,2020,3
3,3.794207447100216,1,2020,4
4,3.3014650951616407,1,2020,5
5,0.7699258735221819,1,2020,6
6,0.6144912993484268,1,2020,7
7,0.8900656639015069,1,2020,8
8,3.6350973000677183,1,2021,1
9,3.6849168700545345,1,2021,2
10,3.3090991360972355,1,2021,3
11,3.5371314628801804,1,2021,4
12,2.684238316049662,1,2021,5
13,0.7722683178590398,1,2021,6
14,0.6423643025007622,1,2021,7
15,0.6448304449348402,1,2021,8
16,3.675993044561205,1,2022,1
17,3.5139998029142414,1,2022,2
18,3.263096017209441,1,2022,3
19,3.2551869458548115,1,2022,4
20,2.830212061327322,1,2022,5
21,0.943051640645891,1,2022,6
22,0.5451465947195036,1,2022,7
23,1.1691652125493315,1,2022,8
24,3.286509583799303,2,2020,1
25,3.498087753979783,2,2020,2
26,2.739137229889682,2,2020,3
27,3.2436659399819643,2,2020,4
28,3.045190125004185,2,2020,5
29,0.9147594291080953,2,2020,6
30,0.5884438870437754,2,2020,7
31,1.110017120840151,2,2020,8
32,3.20241325595723,2,2021,1
33,3.4611868590894925,2,2021,2
34,3.639132845206727,2,2021,3
35,3.659284977018281,2,2021,4
36,2.5572264783120477,2,2021,5
37,1.0353432028316916,2,2021,6
38,0.600740251604273,2,2021,7
39,1.4974830067974807,2,2021,8
40,3.2730256632765786,2,2022,1
41,3.0430858720335823,2,2022,2
42,2.82644396177452,2,2022,3
43,3.2213595526940084,2,2022,4
44,2.8028904858668686,2,2022,5
45,0.805796705572792,2,2022,6
46,0.5276188564071193,2,2022,7
47,1.1310374348723784,2,2022,8
48,3.610011912796191,3,2020,1
49,3.6591234064939737,3,2020,2
50,3.4466629373193594,3,2020,3
51,3.275990342195427,3,2020,4
52,2.0330234017207807,3,2020,5
53,1.0202567804557645,3,2020,6
54,0.6141711384894244,3,2020,7
55,1.5440878312436062,3,2020,8
56,3.5617703667610927,3,2021,1
57,3.560970360841998,3,2021,2
58,3.0249485141698567,3,2021,3
59,3.5104892534448493,3,2021,4
60,2.9789125670533614,3,2021,5
61,0.7732107066761625,3,2021,6
62,0.5401193469992697,3,2021,7
63,1.0578264853627186,3,2021,8
64,3.3008821005142726,3,2022,1
65,3.137924566506699,3,2022,2
66,2.1605454520666663,3,2022,3
67,3.2714747607333,3,2022,4
68,3.050233698883047,3,2022,5
69,0.8277066264093679,3,2022,6
70,0.5071702961565795,3,2022,7
71,1.0018716411967001,3,2022,8
72,2.968226968947101,4,2019,1
73,2.6968357193372894,4,2019,2
74,3.74147822057292,4,2019,3
75,3.790517744710677,4,2019,4
76,2.8391505465863887,4,2019,5
77,0.8423868267203687,4,2019,6
78,0.5410430810295352,4,2019,7
79,0.8813578837427107,4,2019,8
80,3.32290833939307,4,2020,1
81,2.2099439475249856,4,2020,2
82,2.845580013762706,4,2020,4
83,3.051618910105359,4,2020,5
84,0.7868524444222654,4,2020,6
85,0.5189473147789898,4,2020,7
86,0.911039031881248,4,2020,8
87,3.447530237247996,4,2021,2
88,3.3671286280328,4,2021,4
89,3.065540652257423,4,2021,5
90,0.8923720367063099,4,2021,6
91,0.33011851216891996,4,2021,7
92,1.004067020660284,4,2021,8
93,3.412994105119487,4,2022,1
94,3.1049277712840646,4,2022,2
95,3.398126502417979,4,2022,3
96,3.4433349534017337,4,2022,4
97,2.9350371039711205,4,2022,5
98,0.8050565548465226,4,2022,6
99,0.49931686139590664,4,2022,7
100,1.1838052969711237,4,2022,8
101,3.766816629088975,5,2019,1
102,3.5487020011770425,5,2019,2
103,3.416732554470729,5,2019,3
104,3.632255469766342,5,2019,4
105,3.257397390425041,5,2019,5
106,0.6284618290263252,5,2019,6
107,0.41056946568777564,5,2019,7
108,1.0956055470873338,5,2019,8
109,3.7005750519693685,5,2020,1
110,3.4457681541930967,5,2020,2
111,3.6536187033096237,5,2020,3
112,3.561909545506823,5,2020,4
113,2.9033706352816497,5,2020,5
114,0.7539376657314677,5,2020,6
115,0.4547567621181529,5,2020,7
116,1.1631439012946077,5,2020,8
117,3.6820763150806823,5,2021,1
