,month,year,polygon_id,ndvi,evi
0,1,2001,1,0.8313953280448914,2.1362928348909658
1,1,2001,2,0.8192215859889984,2.169659356180367
2,1,2001,3,0.8337756395339966,2.1230612006824376
3,1,2001,4,0.855810672044754,2.13325915326492
4,1,2001,5,0.8405509889125824,2.150467075660261
5,1,2001,6,0.7026751637458801,1.4520909291362059
6,1,2001,7,0.8052362501621246,1.8335288361862156
7,1,2001,8,0.7725969552993774,1.6813778309101761
8,1,2002,1,0.853205680847168,2.1780926073232774
9,1,2002,2,0.8327013850212097,2.1904151012972033
10,1,2002,3,0.844257116317749,2.1576560275270675
11,1,2002,4,0.8544827401638031,2.15353851874335
12,1,2002,5,0.8472634553909302,2.167502882582329
13,1,2002,6,0.7154655158519745,1.5007051926324322
14,1,2002,7,0.8081358969211578,1.833431907549677
15,1,2002,8,0.776272714138031,1.691264077436644
16,1,2003,1,0.8571428656578064,2.1836441893830703
17,1,2003,2,0.8473805785179138,2.222560365319871
18,1,2003,3,0.8532301783561707,2.151212862536065
19,1,2003,4,0.8650615811347961,2.1842004833990587
20,1,2003,5,0.8443609476089478,2.1742519305071593
21,1,2003,6,0.6842357814311981,1.4091247370919882
22,1,2003,7,0.7640643417835236,1.690536206950379
23,1,2003,8,0.7753247022628784,1.6766461610068866
24,1,2004,1,0.8518518805503845,2.1733597285067874
25,1,2004,2,0.8491176962852478,2.22679085793108
26,1,2004,3,0.8534817695617676,2.1748729721456996
27,1,2004,4,0.8648293316364288,2.1662810233637178
28,1,2004,5,0.8490296006202698,2.198666802588661
29,1,2004,6,0.7008593082427979,1.4613034623217922
30,1,2004,7,0.7206077575683594,1.5489395380431474
31,1,2004,8,0.7265656590461731,1.5334505170398578
32,1,2005,1,0.8517906069755554,2.1808803301237965
33,1,2005,2,0.8429765999317169,2.2007521320890264
34,1,2005,3,0.8418209552764893,2.152332325370147
35,1,2005,4,0.8467967212200165,2.1176992987382643
36,1,2005,5,0.8463066816329956,2.1900780061094123
37,1,2005,6,0.700757622718811,1.464554842017125
38,1,2005,7,0.7851296365261078,1.7649464628255056
39,1,2005,8,0.7549445927143097,1.6124332579562628
40,1,2006,1,0.8583585023880005,2.1950710108604845
41,1,2006,2,0.850333034992218,2.251139413500426
42,1,2006,3,0.8493272662162781,2.18507186148309
43,1,2006,4,0.8735933601856232,2.2092042895751396
44,1,2006,5,0.8560864329338074,2.1823510127870005
45,1,2006,6,0.686350017786026,1.4231947029071919
46,1,2006,7,0.7368948757648468,1.6086554974559626
47,1,2006,8,0.7709453403949738,1.663014220885871
48,1,2007,1,0.852753758430481,2.1925870606646507
49,1,2007,2,0.8393213450908661,2.2152998254794243
50,1,2007,3,0.8374501764774323,2.1276888304391783
51,1,2007,4,0.8528805673122406,2.155589259794175
52,1,2007,5,0.8434001207351685,2.183386433083837
53,1,2007,6,0.6931455433368683,1.4467032864143912
54,1,2007,7,0.7512669265270233,1.6538059417251887
55,1,2007,8,0.7784866988658905,1.6921151887467176
56,1,2008,1,0.8531725406646729,2.186677745464617
57,1,2008,2,0.8409642279148102,2.213890562924775
58,1,2008,3,0.8421791791915894,2.1653400127465403
59,1,2008,4,0.8665276169776917,2.1932855280312906
60,1,2008,5,0.8507775068283081,2.193000212379633
61,1,2008,6,0.6748991906642914,1.384711014051349
62,1,2008,7,0.684808075428009,1.425998658323578
63,1,2008,8,0.7520941495895386,1.6080601587905217
64,1,2009,1,0.8488191366195679,2.1801181102362204
65,1,2009,2,0.8323819041252136,2.214559294539005
66,1,2009,3,0.8438579142093658,2.1714010807285544
67,1,2009,4,0.855263888835907,2.1703196906975393
68,1,2009,5,0.8539472222328186,2.1812667229245397
69,1,2009,6,0.7135314345359802,1.5051878498275193
70,1,2009,7,0.7831965386867523,1.7535472449774152
71,1,2009,8,0.7796913683414459,1.6944895563369433
72,1,2010,1,0.84765625,2.156776464671863
73,1,2010,2,0.8348885476589203,2.1905183966318553
74,1,2010,3,0.831544041633606,2.114596799848294
75,1,2010,4,0.8596627712249756,2.1591223564612516
76,1,2010,5,0.8519926965236664,2.203455525806432
77,1,2010,6,0.7095237374305725,1.5024440778098964
78,1,2010,7,0.7707590162754059,1.7170267807833568
79,1,2010,8,0.7186124324798584,1.4944548112399687
80,1,2011,1,0.8367016911506653,2.1372767857142856
81,1,2011,2,0.839818924665451,2.1708026191676004
82,1,2011,3,0.8397605717182159,2.1289023180410966
83,1,2011,4,0.8617593944072723,2.186609694285121
84,1,2011,5,0.8536968231201172,2.214039260503161
85,1,2011,6,0.7191715240478516,1.5344772987956747
86,1,2011,7,0.7838857471942902,1.7571145091567721
87,1,2011,8,0.7802797853946686,1.6967480727352995
88,1,2012,1,0.8577339053153992,2.1934773656648345
89,1,2012,2,0.8419815599918365,2.2137629853345677
90,1,2012,3,0.8343381285667419,2.150648369902708
91,1,2012,4,0.8574769794940948,2.1575633337104643
92,1,2012,5,0.8551054298877716,2.2052401306922724
93,1,2012,6,0.7312814295291901,1.559183784770971
94,1,2012,7,0.7587521970272064,1.6803092350600681
95,1,2012,8,0.7867707908153534,1.7146216390030005
96,1,2013,1,0.8605359196662903,2.19318987718162
97,1,2013,2,0.8435712456703186,2.2224500356587313
98,1,2013,3,0.8464008569717407,2.1641441722577626
99,1,2013,4,0.8619734048843384,2.1765685730149915
100,1,2013,5,0.8540971279144287,2.20604792737957
101,1,2013,6,0.6872308850288391,1.4246725109122553
102,1,2013,7,0.700474739074707,1.4667739883858755
103,1,2013,8,0.7029682993888855,1.4498173892715758
