,month,polygon_id,year,temperature,radiation,fpar,datetime
813,8,7,2019,35.66271711136401,18478519.208466966,35.193232841565106,2019-08-01
814,8,7,2020,34.90411519263241,18577994.385897435,40.82676282051282,2020-08-01
815,8,7,2021,35.033415603825986,19232692.059087988,35.92929779490473,2021-08-01
816,8,7,2022,34.35331393952483,19379154.591404747,37.732146675219155,2022-08-01
817,8,8,2010,27.066973144250415,13455334.504827587,52.68051724137931,2010-08-01
818,8,8,2011,28.302485203361417,14943778.689280868,53.055404794210766,2011-08-01
819,8,8,2012,28.247451329126058,12557004.069454288,49.216335931963144,2012-08-01
820,8,8,2013,28.73968288182995,13594434.784530386,52.28965239410682,2013-08-01
821,8,8,2014,27.752800773854855,14364416.879474068,51.63513513513514,2014-08-01
822,8,8,2015,27.67634169785553,12919657.000707714,51.467857985373904,2015-08-01
823,8,8,2016,29.534754329176007,13434024.442611683,51.11248568155785,2016-08-01
824,8,8,2017,27.651244050310822,14075217.068767909,52.10977793696275,2017-08-01
825,8,8,2018,28.396530395319445,13651774.719885958,49.434010453789504,2018-08-01
826,8,8,2019,27.683763969171512,12731370.354046242,55.48392341040462,2019-08-01
827,8,8,2020,27.180917956227965,12128601.609341826,61.783085633404106,2020-08-01
828,8,8,2021,28.346085766162243,12602596.736914601,45.98100321395776,2021-08-01
829,8,8,2022,27.999327295021928,13633942.397727273,52.32859848484849,2022-08-01
830,9,1,2010,30.07054853679657,16553112.286579546,88.35769696969696,2010-09-01
831,9,1,2011,29.040686748998695,15352062.859265478,86.81989875389408,2011-09-01
832,9,1,2012,29.195117890439104,16205761.520197516,88.7117148097203,2012-09-01
833,9,1,2013,30.08850102534262,15707832.804800026,88.14660493827161,2013-09-01
834,9,1,2014,29.80465624929843,16436921.459456772,88.90281706742103,2014-09-01
835,9,1,2015,29.95387710684189,17175738.565861613,89.48851019881229,2015-09-01
836,9,1,2016,29.777512725090062,15560682.600420168,87.40728291316528,2016-09-01
837,9,1,2017,29.243160880398698,15698782.279651163,87.87558139534883,2017-09-01
838,9,1,2018,30.080662132459423,16316705.663369352,88.35523770038697,2018-09-01
839,9,1,2019,29.925464154164395,16817768.96469035,88.97317671809256,2019-09-01
840,9,1,2020,29.94768140482913,16520551.90722013,88.10865475070555,2020-09-01
841,9,1,2021,29.932009816353574,16713350.873694267,88.7898855407615,2021-09-01
842,9,1,2022,29.78241653867479,5610082.367378849,89.16217634709587,2022-09-01
843,9,2,2010,29.720421055183813,16454078.574645706,88.13170400543109,2010-09-01
844,9,2,2011,28.76266769589683,16376959.221913274,87.9258525456292,2011-09-01
845,9,2,2012,30.05935245310248,15803623.64896222,88.02487562189054,2012-09-01
846,9,2,2013,30.123799189273495,15754458.187847141,83.32382288743375,2013-09-01
847,9,2,2014,30.852864589594635,16588993.609407872,86.35179990649837,2014-09-01
848,9,2,2015,30.57805605927983,17822425.03161268,89.07508878741756,2015-09-01
849,9,2,2016,29.69660490966488,16039673.089915374,87.35431358721203,2016-09-01
850,9,2,2017,29.972807657504838,16022722.823931117,87.46941805225653,2017-09-01
851,9,2,2018,29.886777830617408,15855319.917396596,88.85619174434088,2018-09-01
852,9,2,2019,29.467892095558792,16830981.24898727,88.17149270482604,2019-09-01
853,9,2,2020,29.949029145703136,17242711.53962113,86.2086446104589,2020-09-01
854,9,2,2021,28.727151216931244,16901148.38492477,86.7237037037037,2021-09-01
855,9,2,2022,29.84866238824377,6027587.538938492,89.30952380952381,2022-09-01
856,9,3,2010,29.820413450239883,17503338.35254473,88.36186331399098,2010-09-01
857,9,3,2011,29.605668443479352,16014759.33395901,89.18587662337663,2011-09-01
858,9,3,2012,29.346568560038325,17151904.594175622,89.08911756793113,2012-09-01
859,9,3,2013,28.950665120677794,16445403.018295014,88.61466829798803,2013-09-01
860,9,3,2014,29.49948633172513,17637256.16025292,88.90146654445464,2014-09-01
861,9,3,2015,31.988457911129547,18881259.092663433,89.64936143039591,2015-09-01
862,9,3,2016,29.52352752420473,15576684.155809129,87.367081604426,2016-09-01
863,9,3,2017,30.116100855020935,15875554.411697248,86.90782000873745,2017-09-01
864,9,3,2018,29.194403706145803,16989990.872474927,89.34285282562708,2018-09-01
865,9,3,2019,29.779941606157482,16699493.271452356,89.27352762598663,2019-09-01
866,9,3,2020,30.095742070361585,17986699.43627451,88.13092320261437,2020-09-01
867,9,3,2021,29.106736921733408,17081155.19170176,89.43630154977673,2021-09-01
868,9,3,2022,29.674565232176118,6624833.526474692,89.56793687451886,2022-09-01
869,9,4,2010,28.96378548555844,19160923.308081754,89.02555999112884,2010-09-01
870,9,4,2011,28.860147807846413,18955517.298834648,89.25818303273213,2011-09-01
871,9,4,2012,29.253350247650936,19838650.7104208,89.64197530864197,2012-09-01
872,9,4,2013,27.792840452175135,18180757.942464426,88.55547550432277,2013-09-01
873,9,4,2014,29.223352987009413,20242442.07962101,89.42148714539006,2014-09-01
874,9,4,2015,29.55576193992902,20930712.550656747,89.48494909251882,2015-09-01
875,9,4,2016,29.267411373979584,17765217.94020979,88.91876456876456,2016-09-01
876,9,4,2017,29.1766926424331,19142935.395689655,89.3869540229885,2017-09-01
877,9,4,2018,29.146985262837738,19032792.586714607,89.34438549955792,2018-09-01
878,9,4,2019,29.519841632097116,19884453.485286027,89.50858250276855,2019-09-01
879,9,4,2020,29.772484311893106,20420364.23644781,89.50426487093155,2020-09-01
880,9,4,2021,28.82707034010483,19317557.90100308,88.9763955892488,2021-09-01
881,9,4,2022,28.79083076108817,7509317.449960178,89.74837916387213,2022-09-01
882,9,5,2010,29.32841519032933,19069092.587876774,88.87943262411348,2010-09-01
883,9,5,2011,29.89883860603409,18969138.499118615,89.9570538495772,2011-09-01
884,9,5,2012,28.24049524976451,18513456.615284454,89.64102564102564,2012-09-01
885,9,5,2013,29.777019873376766,17128243.193609774,90.0161591880342,2013-09-01
