,month,year,polygon_id,precipitation,temperature,radiation
0,1,2019,1,384.62133321796574,28.411398432790868,12349289.424954792
1,1,2019,2,322.30309777397105,29.08886677956537,13433518.270956816
2,1,2019,3,336.0995690506002,27.41983062330626,12402960.493224932
3,1,2019,4,129.02333772904944,25.580530303030336,12659362.787878787
4,1,2019,5,336.12636541303664,27.60722901582196,15391544.548672566
5,1,2019,6,140.19358389843734,32.15770749144021,19635609.975641027
6,1,2019,7,85.88441985402352,33.173591419566925,20694664.83076923
7,1,2019,8,15.043733227934156,30.425626706111377,21451264.738571428
8,1,2020,1,111.927796016369,30.139926172199416,15331626.739102969
9,1,2020,2,196.96685949035037,28.64605100914541,15165262.292715231
10,1,2020,3,158.6195010818541,29.270302163600316,15680708.2125
11,1,2020,4,125.07125171102902,27.873457414613085,14357291.09079118
12,1,2020,5,292.1137770934137,27.333688271604967,14243089.126262626
13,1,2020,6,334.9849310785167,31.479228619900795,15110597.538362347
14,1,2020,7,258.0682680682262,32.3021790816959,16560771.06132989
15,1,2020,8,178.55410399703604,32.77005421365918,17693289.922368422
16,1,2021,1,312.6342689785839,29.678674489352485,13552236.26988266
17,1,2021,2,428.13173175714417,28.941168872085726,14712130.623818526
18,1,2021,3,389.4243358199448,27.688391359593425,13035438.59974587
19,1,2021,4,271.7335695562138,27.4603703703704,13424030.767676767
20,1,2021,5,330.3168128901646,29.17641102209277,15887077.67662054
21,1,2021,6,165.13564485762365,32.42138721093724,19652062.587179486
22,1,2021,7,45.08661397605752,32.987723671477916,20431652.96923077
23,1,2021,8,22.47722230918047,30.812908692476288,19777817.919649377
24,1,2022,1,159.54375734437664,28.774688601109037,17445560.883133292
25,1,2022,2,235.00286404084954,28.295158355932728,15816100.28536436
26,1,2022,3,235.7457497831241,28.7181021612185,14373680.08091024
27,1,2022,4,300.5326220524237,27.560745341614936,13348376.57142857
28,1,2022,5,284.9219724116387,28.497471861471894,14411399.50995671
29,1,2022,6,296.44348895381444,31.083118278419654,16227907.432605905
30,1,2022,7,146.1771673520741,29.559434820382354,17046068.959170446
