,month,polygon_id,pai
0,1,1,3.6565286768076803
1,1,2,3.5589369853200186
2,1,3,3.293715978343335
3,1,4,3.6128265422391097
4,1,5,3.019499526640102
5,1,6,0.7798757371196848
6,1,7,0.6310577855214966
7,1,8,1.0382851903755619
8,2,1,3.2289312025581887
9,2,2,3.422461974894033
10,2,3,3.550620624069582
11,2,4,3.3684847981482013
12,2,5,2.928178712164518
13,2,6,0.9427717592228774
14,2,7,0.5754601581808128
15,2,8,1.1425326414466257
16,3,1,3.5883137880969955
17,3,2,3.554757295395729
18,3,3,3.4408719216208223
19,3,4,3.4108545067646125
20,3,5,3.004388293453726
21,3,6,0.803723641803544
22,3,7,0.5610541319105692
23,3,8,1.0562474789538063
24,4,1,3.3773357422501373
25,4,2,3.0571866481924435
26,4,3,3.4147082317396773
27,4,4,3.434548754794141
28,4,5,2.9970433776682217
29,4,6,0.814361687668934
30,4,7,0.5055271036767596
31,4,8,1.0222058942026062
32,5,1,3.7132558991629363
33,5,2,3.36071881228674
34,5,3,3.456198904767906
35,5,4,3.497407006488357
36,5,5,3.107506009639919
37,5,6,0.7250751134009235
38,5,7,0.46491172749731485
39,5,8,1.1922913639489376
40,6,1,3.8502421468649968
41,6,2,3.543549429751814
42,6,3,3.429143295900181
43,6,4,3.6780847619992283
44,6,5,3.39908824569098
45,6,6,0.5961127514565367
46,6,7,0.3731700920769615
47,6,8,0.9481306578475326
48,7,1,3.7233000240236263
49,7,2,3.4248457863131314
50,7,3,3.884696131308656
51,7,4,3.7733367976595615
52,7,5,3.32269044986292
53,7,6,0.6720205853688915
54,7,7,0.375134570980833
55,7,8,0.9693592604722688
56,8,1,3.8410538729422954
57,8,2,3.724248986411658
58,8,3,3.422306452691315
59,8,4,3.712771261067307
60,8,5,3.2370149003146733
61,8,6,0.5696344145130521
62,8,7,0.31624512833593676
63,8,8,0.8482634213498068
64,9,1,3.7754376859744427
65,9,2,3.3701926350076317
66,9,3,3.776367208721722
67,9,4,3.6953214020454834
68,9,5,3.2092261798499133
69,9,6,0.5074469405612765
70,9,7,0.2770659757182044
71,9,8,0.771184765601306
72,10,1,3.47403930962058
73,10,2,3.3836794414213482
74,10,3,3.4300729629026243
75,10,4,3.5314381388461484
76,10,5,3.0149057367182515
77,10,6,0.6905683152698774
78,10,7,0.3050152738398442
79,10,8,0.7712216016476837
80,11,1,3.6460771045463347
81,11,2,3.3013882847903657
82,11,3,3.6294186157980666
83,11,4,3.632411755873432
84,11,5,2.8036506084127732
85,11,6,1.0012567021871217
86,11,7,0.5801426526077914
87,11,8,0.8529834330858986
88,12,1,3.5729186940092275
89,12,2,3.165157454298552
90,12,3,3.0568818185530025
91,12,4,3.4076992033303704
92,12,5,2.8015752362946524
93,12,6,0.9828873118599325
94,12,7,0.642707649590915
95,12,8,1.098765634577508
