,polygon_id,year,month,pai,date
4_4_2020,4,2020,4,3.261348527573707,04-20
5_4_2020,5,2020,4,3.8185327555745583,04-20
6_4_2020,6,2020,4,0.7868615989788134,04-20
7_4_2020,7,2020,4,0.5189755824493364,04-20
8_4_2020,8,2020,4,0.911039031881248,04-20
1_5_2020,1,2020,5,4.0444910326603285,05-20
2_5_2020,2,2020,5,4.125389403145893,05-20
3_5_2020,3,2020,5,4.139228908717316,05-20
4_5_2020,4,2020,5,4.028176925421193,05-20
5_5_2020,5,2020,5,3.796556384607367,05-20
6_5_2020,6,2020,5,0.753941832260891,05-20
7_5_2020,7,2020,5,0.45476973749726857,05-20
8_5_2020,8,2020,5,1.1631439012946079,05-20
1_6_2020,1,2020,6,4.189081287857159,06-20
2_6_2020,2,2020,6,4.18315983359516,06-20
3_6_2020,3,2020,6,3.8543637834760265,06-20
4_6_2020,4,2020,6,4.079615989195705,06-20
5_6_2020,5,2020,6,4.148142531537056,06-20
6_6_2020,6,2020,6,0.6079473625600775,06-20
7_6_2020,7,2020,6,0.44043364328006257,06-20
8_6_2020,8,2020,6,1.1217143170350106,06-20
2_7_2020,2,2020,7,4.106909266746061,07-20
4_7_2020,4,2020,7,4.168513152875926,07-20
5_7_2020,5,2020,7,3.9348424949866376,07-20
6_7_2020,6,2020,7,0.5972409860773312,07-20
7_7_2020,7,2020,7,0.5269047991836198,07-20
8_7_2020,8,2020,7,0.8992231804912793,07-20
1_8_2020,1,2020,8,3.1511074480527888,08-20
2_8_2020,2,2020,8,3.986911304770562,08-20
4_8_2020,4,2020,8,4.255289799741366,08-20
5_8_2020,5,2020,8,3.601341988681058,08-20
6_8_2020,6,2020,8,0.5659392103676804,08-20
7_8_2020,7,2020,8,0.3523172860590637,08-20
8_8_2020,8,2020,8,0.9251793443532124,08-20
1_9_2020,1,2020,9,4.00078804170014,09-20
2_9_2020,2,2020,9,3.9932710809226237,09-20
4_9_2020,4,2020,9,4.081766787939957,09-20
5_9_2020,5,2020,9,3.5342678380824393,09-20
6_9_2020,6,2020,9,0.5096952154317638,09-20
7_9_2020,7,2020,9,0.28818982058850634,09-20
8_9_2020,8,2020,9,0.9311261489694814,09-20
1_10_2020,1,2020,10,2.3378650700322146,10-20
2_10_2020,2,2020,10,3.262570781780546,10-20
4_10_2020,4,2020,10,4.016654376792363,10-20
5_10_2020,5,2020,10,3.5112066400862525,10-20
6_10_2020,6,2020,10,0.6795538144395692,10-20
7_10_2020,7,2020,10,0.40120299784662555,10-20
8_10_2020,8,2020,10,0.809069584084567,10-20
1_11_2020,1,2020,11,3.923133791214858,11-20
2_11_2020,2,2020,11,3.3524587217715998,11-20
3_11_2020,3,2020,11,2.7592526071644174,11-20
4_11_2020,4,2020,11,3.9752426384211508,11-20
5_11_2020,5,2020,11,3.8079198074935814,11-20
6_11_2020,6,2020,11,1.0887761741176365,11-20
7_11_2020,7,2020,11,0.684807758821995,11-20
8_11_2020,8,2020,11,1.309324336916502,11-20
1_12_2020,1,2020,12,3.691451840026497,12-20
2_12_2020,2,2020,12,3.7549580671948735,12-20
3_12_2020,3,2020,12,3.5060166778931343,12-20
4_12_2020,4,2020,12,4.063096424294459,12-20
5_12_2020,5,2020,12,3.6956460802569313,12-20
6_12_2020,6,2020,12,1.0606474813197653,12-20
7_12_2020,7,2020,12,0.6798127215317524,12-20
8_12_2020,8,2020,12,1.4002139174335686,12-20
1_1_2021,1,2021,1,3.9478753563461835,01-21
2_1_2021,2,2021,1,4.151939585262532,01-21
3_1_2021,3,2021,1,3.6610844186485223,01-21
4_1_2021,4,2021,1,3.9509985819546047,01-21
5_1_2021,5,2021,1,3.520266034937263,01-21
6_1_2021,6,2021,1,0.7722683178590398,01-21
7_1_2021,7,2021,1,0.6423785667233642,01-21
8_1_2021,8,2021,1,0.6448304449348402,01-21
1_2_2021,1,2021,2,3.503375929110262,02-21
2_2_2021,2,2021,2,4.0636897190053825,02-21
3_2_2021,3,2021,2,4.052201770167285,02-21
4_2_2021,4,2021,2,4.1371408885246375,02-21
5_2_2021,5,2021,2,3.5352146289705884,02-21
6_2_2021,6,2021,2,1.0353432028316916,02-21
7_2_2021,7,2021,2,0.6007500538470627,02-21
8_2_2021,8,2021,2,1.497483006797481,02-21
1_3_2021,1,2021,3,3.8613890103268473,03-21
2_3_2021,2,2021,3,4.157089168417633,03-21
3_3_2021,3,2021,3,3.3685693973420716,03-21
4_3_2021,4,2021,3,3.9582161547107506,03-21
5_3_2021,5,2021,3,3.6939520775362995,03-21
6_3_2021,6,2021,3,0.7732107066761624,03-21
7_3_2021,7,2021,3,0.5401369680141137,03-21
8_3_2021,8,2021,3,1.0578353772761835,03-21
2_4_2021,2,2021,4,3.986263402189223,04-21
4_4_2021,4,2021,4,3.8227320925341917,04-21
5_4_2021,5,2021,4,3.609435863870923,04-21
6_4_2021,6,2021,4,0.8923720367063099,04-21
7_4_2021,7,2021,4,0.33011851216891996,04-21
8_4_2021,8,2021,4,1.0040795478529658,04-21
1_5_2021,1,2021,5,4.068917768785057,05-21
2_5_2021,2,2021,5,3.862681939576836,05-21
3_5_2021,3,2021,5,3.837301147607949,05-21
4_5_2021,4,2021,5,3.966304687752981,05-21
5_5_2021,5,2021,5,3.871758958969189,05-21
6_5_2021,6,2021,5,0.5090757321135625,05-21
7_5_2021,7,2021,5,0.5341939245005528,05-21
8_5_2021,8,2021,5,1.2692688246054251,05-21
1_6_2021,1,2021,6,4.112391680801166,06-21
2_6_2021,2,2021,6,4.051983336597729,06-21
3_6_2021,3,2021,6,3.778612674706595,06-21
4_6_2021,4,2021,6,4.052613167589996,06-21
5_6_2021,5,2021,6,3.946639419498238,06-21
6_6_2021,6,2021,6,0.557774837572174,06-21
7_6_2021,7,2021,6,0.278263608544863,06-21
8_6_2021,8,2021,6,0.8639238768878512,06-21
1_7_2021,1,2021,7,4.214177048670701,07-21
2_7_2021,2,2021,7,4.152360501963843,07-21
3_7_2021,3,2021,7,3.7268881262108478,07-21
4_7_2021,4,2021,7,4.002746139227352,07-21
5_7_2021,5,2021,7,3.889878139719972,07-21
6_7_2021,6,2021,7,0.764640261288095,07-21
7_7_2021,7,2021,7,0.3753797543167846,07-21
8_7_2021,8,2021,7,1.1661540448414198,07-21
1_8_2021,1,2021,8,3.9872030280965833,08-21
2_8_2021,2,2021,8,3.896372710889912,08-21
3_8_2021,3,2021,8,3.6571411963812217,08-21
4_8_2021,4,2021,8,4.090701511740013,08-21
5_8_2021,5,2021,8,3.6807265311155417,08-21
6_8_2021,6,2021,8,0.576544327863411,08-21
7_8_2021,7,2021,8,0.34332711363978013,08-21
8_8_2021,8,2021,8,0.8146915863003911,08-21
1_9_2021,1,2021,9,4.081271652521416,09-21
2_9_2021,2,2021,9,3.8040250666987965,09-21
3_9_2021,3,2021,9,4.201614793602659,09-21
4_9_2021,4,2021,9,3.8662273465338584,09-21
5_9_2021,5,2021,9,3.1413279395148206,09-21
6_9_2021,6,2021,9,0.5162020826913051,09-21
7_9_2021,7,2021,9,0.27399084602664453,09-21
8_9_2021,8,2021,9,0.48180742940338755,09-21
2_10_2021,2,2021,10,4.0300507814416715,10-21
3_10_2021,3,2021,10,3.418054025736686,10-21
4_10_2021,4,2021,10,4.058252872880594,10-21
5_10_2021,5,2021,10,3.5675698944562426,10-21
6_10_2021,6,2021,10,0.9497279452532571,10-21
7_10_2021,7,2021,10,0.3066783798096588,10-21
8_10_2021,8,2021,10,0.7768694772631607,10-21
1_11_2021,1,2021,11,3.898003826342967,11-21
2_11_2021,2,2021,11,3.5388812806710437,11-21
3_11_2021,3,2021,11,3.843735838477811,11-21
4_11_2021,4,2021,11,3.7060200308020517,11-21
5_11_2021,5,2021,11,3.3303825840384285,11-21
6_11_2021,6,2021,11,0.9785931342670116,11-21
7_11_2021,7,2021,11,0.5271126849554701,11-21
8_11_2021,8,2021,11,0.48838453650557034,11-21
1_12_2021,1,2021,12,3.8963311281181157,12-21
2_12_2021,2,2021,12,3.5808614050317034,12-21
4_12_2021,4,2021,12,3.637222226225652,12-21
