,month,polygon_id,year,datetime,precipitation,ET,PET,water_deficit,temperature,radiation,fpar
403,4,8,2010,2010-04-01,70.77513673448787,116.05233859929103,200.12013571099723,-129.34499897650937,25.608647846089532,13735187.75156838,69.18757841907151
404,4,8,2011,2011-04-01,83.5832613699364,131.39243683953242,195.01488431224283,-111.43162294230643,27.32043034026908,13378539.458455523,75.7781036168133
405,4,8,2012,2012-04-01,20.80771414050186,77.20595143793193,201.99939033021738,-181.1916761897155,30.654066705584324,15980798.242219215,59.452638700947226
406,4,8,2013,2013-04-01,56.35770567254202,108.47429639735094,189.0877754645753,-132.73006979203328,30.651282557592882,12735389.932299012,61.185472496473906
407,4,8,2014,2014-04-01,35.80686111711778,105.10771768502163,205.92735814599627,-170.12049702887848,29.026659775054036,15086275.627218936,67.57199211045365
408,4,8,2015,2015-04-01,52.564208444096664,111.22979396724395,203.82083710776072,-151.25662866366406,28.799329594647805,12939394.723140497,68.47451790633609
409,4,8,2016,2016-04-01,13.406565069600752,84.18235002518695,200.71524616207313,-187.30868109247237,31.16524291166105,15712079.400138216,62.55643860861553
410,4,8,2017,2017-04-01,37.93477694736701,120.44235938031302,206.02935698792206,-168.09458004055506,27.513842128469353,14027280.346491229,73.40667641325535
411,4,8,2018,2018-04-01,29.22051902560232,115.21111350982719,188.24590383323064,-159.0253848076283,27.11781700680275,13590675.359183673,66.05748299319728
412,4,8,2019,2019-04-01,74.1782366881199,132.29394791574708,204.94748590387726,-130.76924921575738,28.82876071524503,15258463.508460918,71.58125167875369
413,4,8,2020,2020-04-01,50.01268104379712,133.10687860351877,202.58130230346353,-152.5686212596664,27.64401293408196,11751101.102183405,75.68908296943232
414,4,8,2021,2021-04-01,44.627156750916015,111.52069739111299,197.26054935663848,-152.63339260572246,28.893638176781415,14312751.30049261,70.60121979826413
415,4,8,2022,2022-04-01,30.916490442468632,117.63664628267597,197.85647768229953,-166.93998723983088,27.718497037609104,14962260.918056563,75.90923374425913
416,5,1,2010,2010-05-01,317.22175036681875,110.90851048296375,135.15214251427085,182.0696078525479,28.355772058823558,11701511.330882354,85.48713235294117
417,5,1,2011,2011-05-01,360.3268106194757,93.58844607377398,113.26720136764541,247.05960925183027,27.629396551724167,10482046.327586208,85.16379310344827
418,5,1,2012,2012-05-01,400.17085035772647,123.24393391448429,151.5979142577138,248.57293610001267,28.193637445887475,11703509.068181818,86.11444805194805
419,5,1,2013,2013-05-01,415.9454505781267,117.97874044548311,142.90486915052077,273.04058142760596,29.89406701544597,11883617.998505231,87.49451918285999
420,5,1,2014,2014-05-01,384.25589572859474,94.49967805624215,115.68169021182267,268.57420551677205,28.141017156862773,11385228.811764706,84.86740196078432
421,5,1,2015,2015-05-01,316.71928590900643,102.46687491845222,123.31283311816286,193.40645279084356,27.434104477611967,11367686.597014925,86.91417910447761
422,5,1,2016,2016-05-01,310.2864439749747,100.6459640158049,125.2809165948243,185.0055273801504,27.659027027027058,11635547.18918919,81.7054054054054
423,5,1,2017,2017-05-01,266.7049523754597,103.80777023306166,126.49887328462775,140.20607909083196,27.876319444444473,13114019.135964911,85.74634502923978
424,5,1,2018,2018-05-01,352.25951924659176,113.99668664703414,139.67418387581753,212.58533537077423,28.35488888888892,11174342.594444444,87.05277777777778
425,5,1,2019,2019-05-01,406.8950066943649,101.73392480180372,123.32975876364041,283.56524793072447,27.518413580246943,12447315.848148149,85.00416666666666
426,5,1,2020,2020-05-01,353.5335266403793,97.28702231461422,118.44535036364877,235.08817627673054,27.25611111111114,10921749.111111112,82.38888888888889
427,5,1,2021,2021-05-01,271.1222545900005,104.92825239948343,130.94703648922066,140.17521810077986,28.60451949860727,11622140.038997214,84.89972144846797
428,5,1,2022,2022-05-01,476.929275112425,96.10566182530494,117.55868634811863,359.3705887643064,27.94110091743122,11445366.770642202,87.01834862385321
429,5,2,2010,2010-05-01,307.58494217493967,96.74523212801039,117.13091227166291,190.45402990327676,28.464810126582304,11341546.101265823,82.53164556962025
430,5,2,2011,2011-05-01,357.2452437779135,103.06529278929669,125.71923723841073,231.5260065395028,28.901818181818214,10882277.818181818,87.64393939393939
431,5,2,2012,2012-05-01,308.50512470748254,109.12689145244828,133.7222263572985,174.78289835018404,29.02552000000003,11882771.208,81.474
432,5,2,2013,2013-05-01,407.0885921692195,113.1743228607603,136.83333172087,270.25526044834953,28.099959839357457,11871722.439089691,86.68005354752343
433,5,2,2014,2014-05-01,438.0595994645899,103.61528126812156,124.69056913376218,313.36903033082774,27.543979166666695,11853171.4375,83.99791666666667
434,5,2,2015,2015-05-01,355.8925931227529,116.82978952124066,142.6203093435637,213.2722837791892,29.18872243839173,12025603.984435797,84.46335927367055
435,5,2,2016,2016-05-01,425.9609670446526,110.01754512600614,132.3616857668077,293.59928127784485,28.585114942528765,11337598.172413792,86.04597701149426
436,5,2,2017,2017-05-01,214.5113389863089,121.42246077295286,148.8667041563121,65.64463482999682,28.445684642641115,13353745.41923775,86.66583484573503
437,5,2,2018,2018-05-01,358.5355126860915,101.8562648161964,125.394173052913,233.14133963317852,27.287619047619078,11391924.761904761,81.83333333333333
438,5,2,2019,2019-05-01,547.4499145505242,101.9617546483991,123.93466215411894,423.5152523964053,27.897409126063447,10945396.993039442,85.58739365815931
439,5,2,2020,2020-05-01,316.5915912562087,101.3320307212429,124.30981620760731,192.2817750486014,27.90877192982459,11639951.596491229,85.71929824561404
440,5,2,2021,2021-05-01,156.14099431008322,96.00178589647065,115.52625428886438,40.614740021218836,27.975755395683482,12317976.417266186,87.43525179856115
441,5,2,2022,2022-05-01,354.60491815711845,99.301853030676,122.36320660904391,232.24171154807453,27.862533333333364,11709994.844444444,83.91111111111111
442,5,3,2010,2010-05-01,183.2668394799178,117.23365883465873,144.11105589218147,39.15578358773632,28.49641947565546,11160254.026966292,86.90262172284643
443,5,3,2011,2011-05-01,225.28154544047177,102.9635525491113,124.54803606286939,100.73350937760239,28.040993117010846,11308853.327433629,84.83726647000982
444,5,3,2012,2012-05-01,245.33811456042451,102.07577757972733,123.6138387470596,121.72427581336491,27.727683615819235,12244382.870056497,84.90677966101696
445,5,3,2013,2013-05-01,260.2179375863759,111.29595327488491,135.18645337707105,125.03148420930486,27.604623131903864,12785324.970760234,87.09909031838856
446,5,3,2014,2014-05-01,425.99154062506034,106.4599109473025,129.4818758961752,296.5096647288851,28.102304471544745,11454657.226829268,84.58201219512195
447,5,3,2015,2015-05-01,317.2092903915204,103.9410253946204,127.64361293108162,189.5656774604388,27.40719806763288,11681050.36231884,83.27777777777779
448,5,3,2016,2016-05-01,236.78774977157266,107.28304525309896,128.1370796080042,108.65067016356846,28.107334826762276,11537210.14516129,86.69026284348864
449,5,3,2017,2017-05-01,235.81009095025485,124.11167395639244,154.33143899096203,81.47865195929282,29.48064956551967,13518339.235036496,86.2285888077859
450,5,3,2018,2018-05-01,280.03622881013615,106.52508026439443,132.9974603380876,147.03876847204856,27.91511504424782,11688827.727433627,84.81622418879056
451,5,3,2019,2019-05-01,321.04547278581526,109.5923207919756,133.26381699564658,187.78165579016868,27.234548022598897,11575884.813559322,86.83262711864407
452,5,3,2020,2020-05-01,370.98488184674954,105.12540757164993,124.52691156954674,246.4579702772028,28.555882352941207,10543786.655882353,86.16960784313726
453,5,3,2021,2021-05-01,294.7557820502977,100.65940150578132,120.16137774779081,174.59440430250686,27.296495726495753,12165890.256410256,86.99358974358974
454,5,3,2022,2022-05-01,259.32588444949147,109.9770661601126,136.5479354730791,122.77794897641238,28.77047637624624,11585306.723016905,85.64542696142175
455,5,4,2010,2010-05-01,388.54271772037777,113.01622676307441,139.29261700236395,249.2501007180138,26.84661442006273,11870929.887147335,85.67554858934169
456,5,4,2011,2011-05-01,326.55028979387026,93.99338121223836,114.59613039962338,211.9541593942469,26.54333333333336,11530926.74074074,77.55555555555556
457,5,4,2012,2012-05-01,173.33671919757384,141.45982279300912,183.69241712974667,-10.35569793217283,27.416661350545876,15339630.405063292,86.77461322081575
458,5,4,2013,2013-05-01,389.24005383240547,127.93983407257109,160.11694792898973,229.12310590341573,26.708075880758837,12761425.306233061,85.55103884372177
459,5,4,2014,2014-05-01,432.274358481795,101.53550708915277,125.35058425531365,306.9237742264813,26.599029126213622,11533889.922330096,81.80582524271844
460,5,4,2015,2015-05-01,327.9584219315013,130.81412726313832,170.068433009703,157.88998892179828,27.56740196078434,13043011.0,83.69301470588235
461,5,4,2016,2016-05-01,381.95040728957014,117.4338912563509,147.30054720264948,234.64986008692065,27.41651832460736,12736016.811518325,87.18630017452007
462,5,4,2017,2017-05-01,216.01734285027143,136.09418180075653,175.02636647387905,40.99097637639238,28.00464948882296,14507408.540198736,86.85907859078591
463,5,4,2018,2018-05-01,434.13560278180967,110.09676942780962,138.58182348031184,295.5537793014978,26.827669902912653,11505650.368932039,86.2621359223301
464,5,4,2019,2019-05-01,468.51767828477125,115.12758764910484,144.8359012097677,323.68177707500354,27.51930725346376,11834597.907090465,86.38997555012224
465,5,4,2020,2020-05-01,457.4958585640979,113.62735064478059,143.31325975209714,314.1825988120007,27.048666666666698,12453725.933333334,85.08333333333333
466,5,4,2021,2021-05-01,288.48197746086123,111.75181879699541,141.58381180040544,146.8981656604558,27.772091503268,13520032.156862745,84.3921568627451
467,5,4,2022,2022-05-01,353.88557162587216,108.66843729800244,135.2985685036328,218.58700312223937,27.39144736842108,11172783.600877194,84.23866959064328
468,5,5,2010,2010-05-01,66.06956916725515,134.1988957295585,168.52160762295372,-102.45203845569857,27.236586673809462,15403074.811971372,89.79716981132076
469,5,5,2011,2011-05-01,88.86711606156953,124.1635370869062,158.7732219621615,-69.90610590059197,27.129003369302428,14545702.52815534,89.45463861920172
470,5,5,2012,2012-05-01,102.11523621318014,119.87834037639925,151.74244958184235,-49.62721336866221,27.013001836443106,14725941.93019943,89.45833333333333
471,5,5,2013,2013-05-01,92.41530009663362,131.26853260629858,167.9772897083864,-75.56198961175278,27.612928569742937,14747432.555192685,89.55916612236012
472,5,5,2014,2014-05-01,104.0729400324198,134.5427400030687,170.99428553031908,-66.92134549789928,27.378636929282276,14682682.859557867,89.61324230602513
473,5,5,2015,2015-05-01,133.10386742901406,124.96039209638533,159.25311488664062,-26.149247457626558,27.22705786700253,13562766.974496644,88.76314317673379
474,5,5,2016,2016-05-01,54.71539097393393,129.4839104588434,166.2775807784235,-111.56218980448958,27.897860198316337,15534307.291721418,90.08366184844503
475,5,5,2017,2017-05-01,45.074487155576925,134.54524609767998,172.64810187489155,-127.57361471931463,27.52409052777565,15642360.292512245,89.32406111499883
476,5,5,2018,2018-05-01,104.30330574125487,139.27974547059014,183.52377432879257,-79.2204685875377,27.284617818991002,15018246.676202862,89.79004117902038
477,5,5,2019,2019-05-01,74.71835720974492,140.35480157311034,180.77492370263244,-106.05656649288751,27.6308629706138,15109295.880499015,89.82069380608448
478,5,5,2020,2020-05-01,76.77740153952061,123.96311035188918,157.0699602783763,-80.29255873885569,26.879337809122234,14899479.864476386,89.63883185033082
479,5,5,2021,2021-05-01,54.16724875021255,134.3244780800175,175.03058004370158,-120.86333129348903,27.859194040409083,15990160.19140625,89.70811631944444
480,5,5,2022,2022-05-01,59.386834146350864,134.68487563667483,174.49203005626842,-115.10519590991755,26.678628529837454,16539776.907682376,89.9003120292662
481,5,6,2010,2010-05-01,5.815926674681325,84.08482352833461,200.4782549637063,-194.66232828902497,30.539932635689823,15760724.406914894,60.33482934397163
482,5,6,2011,2011-05-01,18.802758568700508,93.43606069619521,189.3496069987682,-170.54684843006768,29.43205678947978,15825006.29202947,61.68888144675151
483,5,6,2012,2012-05-01,17.684539611317938,74.41085264117153,197.54699638622975,-179.8624567749118,30.381916044972638,15397811.632323232,58.14713804713805
484,5,6,2013,2013-05-01,15.184763523557258,92.3304358072485,197.68087634163726,-182.49611281808,30.275972496669883,16361761.100133512,63.165053404539385
485,5,6,2014,2014-05-01,14.325762159752745,107.36246796141964,198.35372994097378,-184.02796778122104,29.20074666547941,15879374.671122994,64.46301247771837
486,5,6,2015,2015-05-01,27.67605674001307,113.75734176116995,192.8962385181663,-165.22018177815323,28.785165305186332,15439316.50802139,66.26091800356505
487,5,6,2016,2016-05-01,1.4074937370536713,56.17369808347601,194.72011160967082,-193.31261787261715,32.11050658145661,16262739.503678929,58.15785953177257
488,5,6,2017,2017-05-01,6.958794879285407,83.4706428150002,204.4872488861356,-197.52845400685018,31.040494450518406,15861554.671552299,62.26010437486121
489,5,6,2018,2018-05-01,4.8121262487096175,96.42053269222151,199.03624733575677,-194.22412108704714,29.396928038781983,15973072.124248497,64.82865731462925
490,5,6,2019,2019-05-01,16.352193868779768,100.84696712040999,215.16735994658583,-198.81516607780605,30.447935674028777,15198798.921843687,65.4878089512358
491,5,6,2020,2020-05-01,14.577773501978118,110.29825117962473,190.577432857146,-175.99965935516786,28.435156798166354,15598856.971849866,65.34752010723861
492,5,6,2021,2021-05-01,3.824832221775344,79.15135988090212,198.61134146522696,-194.7865092434516,29.7149387954563,16980257.599465955,63.342957276368494
493,5,6,2022,2022-05-01,2.4732666999908663,78.27034696100826,200.64477731660173,-198.17151061661087,29.380613996954693,17054785.44629753,61.088725817211476
494,5,7,2010,2010-05-01,5.099981325830166,96.4236089263506,208.18310891458643,-203.08312758875627,31.08372837729582,16432066.7055805,60.49556339533889
495,5,7,2011,2011-05-01,2.843431651438228,121.80865383258167,194.14481220939751,-191.30138055795928,28.10207023054128,15218021.456410257,66.84588675213675
496,5,7,2012,2012-05-01,6.024865678707377,39.96793280133951,215.65899801395852,-209.63413233525114,34.2890374431425,15955674.65466238,40.34790996784566
497,5,7,2013,2013-05-01,7.679578665583036,75.96362194794919,206.47582349935146,-198.79624483376844,31.95740358490215,15637421.767650835,56.70758451005563
498,5,7,2014,2014-05-01,5.394490151677746,110.57335152526319,211.3259581054865,-205.93146795380875,29.4963443026407,16374673.924310455,63.67104981825957
499,5,7,2015,2015-05-01,17.187255484081852,114.71629117276845,206.64226215281127,-189.45500666872942,29.567929474576406,15250640.821794871,68.09663461538462
500,5,7,2016,2016-05-01,3.986013380686442,54.63757802211792,208.30512980868008,-204.31911642799363,32.87750042163896,16857615.232841566,58.16121445370964
501,5,7,2017,2017-05-01,1.92611718024963,79.66010638794373,216.978458303657,-215.05234112340736,32.10088258268883,16001289.040410519,59.449433397477016
502,5,7,2018,2018-05-01,1.3561982654990294,99.62329415562581,216.0204749167519,-214.6642766512529,30.701606314182808,16659494.200256739,64.03631792896876
503,5,7,2019,2019-05-01,5.328166825169077,104.06690544292324,218.37124911301422,-213.04308228784515,31.208117472332933,15775734.441308532,63.68804789394912
504,5,7,2020,2020-05-01,7.010096296927199,148.08096570380954,209.5829392502331,-202.5728429533059,28.419397025704523,14556136.969735995,72.5164198325821
505,5,7,2021,2021-05-01,2.828594041739453,77.19566725133787,208.94738204681929,-206.11878800507984,31.194496623084675,16976327.82039769,61.392719692110326
