,month,polygon_id,ndvi,evi
0,1,1,0.8510749936103821,2.178612181475869
1,1,2,0.8433092832565308,2.2161387535690746
2,1,3,0.8428079783916473,2.1535286004020504
3,1,4,0.8613536953926086,2.172692413037524
4,1,5,0.8541614413261414,2.199023512784273
5,1,6,0.7058425545692444,1.480944490472245
6,1,7,0.7480063140392303,1.6378372555950937
7,1,8,0.7524542808532715,1.6060545427150819
8,2,1,0.8382688164710999,2.1482057078270698
9,2,2,0.8313599228858948,2.194856013206432
10,2,3,0.8301886916160583,2.1266029405350872
11,2,4,0.8548521995544434,2.1579616061168156
12,2,5,0.8450453877449036,2.179270981969127
13,2,6,0.7085258960723877,1.4911879100044745
14,2,7,0.7631396949291229,1.6884661115033905
15,2,8,0.7459063529968262,1.5833973245915773
16,3,1,0.8330925107002258,2.1376483348246085
17,3,2,0.8277442455291748,2.183869812651788
18,3,3,0.8252787590026855,2.1196957417299913
19,3,4,0.848262369632721,2.144778126400717
20,3,5,0.847450315952301,2.180683192829899
21,3,6,0.7157441079616547,1.5143177824177974
22,3,7,0.7768388986587524,1.7351431907352035
23,3,8,0.7566381692886353,1.6229029905178702
24,4,1,0.8411899209022522,2.1569190975714903
25,4,2,0.8343506753444672,2.1987409845907617
26,4,3,0.8324222266674042,2.1416292733167186
27,4,4,0.8515298366546631,2.153531851684587
28,4,5,0.8568453788757324,2.1939850396078455
29,4,6,0.7086215913295746,1.4953262017883966
30,4,7,0.7692395150661469,1.7119311639325157
31,4,8,0.7678084373474121,1.6577567616964444
32,5,1,0.8460722267627716,2.1710561437284728
33,5,2,0.847784548997879,2.230673841118614
34,5,3,0.8458024263381958,2.1698657814980518
35,5,4,0.8602086901664734,2.169998397013263
36,5,5,0.8641225695610046,2.196386994654019
37,5,6,0.6642359793186188,1.354213210916836
38,5,7,0.6922507584095001,1.4557037886684356
39,5,8,0.7473408579826355,1.5876322617519016
40,6,1,0.8467884957790375,2.1683909822292984
41,6,2,0.8491480946540833,2.2295492487479134
42,6,3,0.8490565717220306,2.1595168861030443
43,6,4,0.858510434627533,2.1521034398020706
44,6,5,0.867967814207077,2.179650261222858
45,6,6,0.6042874157428741,1.159878211960005
46,6,7,0.5667254626750946,1.061031067792157
47,6,8,0.704291045665741,1.451546566845892
48,7,1,0.8425443172454834,2.1501390176088973
49,7,2,0.8436747491359711,2.218429418232229
50,7,3,0.8480406999588013,2.153470995901582
51,7,4,0.85361248254776,2.1298114944035302
52,7,5,0.8608744740486145,2.1496403853718
53,7,6,0.5281451940536499,0.9426692767741767
54,7,7,0.45635534822940826,0.7748115154714972
55,7,8,0.6530961692333221,1.298410376463154
56,8,1,0.8366298675537109,2.1343476388689537
57,8,2,0.8341274857521057,2.1946619137633143
58,8,3,0.8432856202125549,2.1477808806632623
59,8,4,0.8466198444366455,2.1117971863524385
60,8,5,0.8425455987453461,2.1531115337890068
61,8,6,0.4573686569929123,0.7661733608300382
62,8,7,0.3992741107940674,0.6501478674477965
63,8,8,0.5917036831378937,1.1297224730740711
64,9,1,0.8333925008773804,2.122470709175147
65,9,2,0.8234151005744934,2.168328245423467
66,9,3,0.8347871899604797,2.1273806866292446
67,9,4,0.8404713571071625,2.0947383431248414
68,9,5,0.8386525511741638,2.1753805730115783
69,9,6,0.4321875721216202,0.7063463349756942
70,9,7,0.3754386305809021,0.5985239582265681
71,9,8,0.527571439743042,0.967657991000743
72,10,1,0.8402920365333557,2.145658642142277
73,10,2,0.8294304609298706,2.187077754575605
74,10,3,0.8338041305541992,2.1193201526188
75,10,4,0.845381498336792,2.110354597387981
76,10,5,0.8473250269889832,2.189455388180765
77,10,6,0.5041589438915253,0.870104473900017
78,10,7,0.3804053068161011,0.6006726856136753
79,10,8,0.5266720652580261,0.9659424544920727
80,11,1,0.8544346690177917,2.182795345077621
81,11,2,0.8401874303817749,2.2127504393680457
82,11,3,0.8427108526229858,2.143596187315244
83,11,4,0.8580909073352814,2.146134455667153
84,11,5,0.8582383394241333,2.2122656587604204
85,11,6,0.632746160030365,1.241877720105633
86,11,7,0.585576057434082,1.1184894660010523
87,11,8,0.6653035283088684,1.3359628717706578
88,12,1,0.8572614192962646,2.190571143711722
89,12,2,0.8451829552650452,2.2293570893321664
90,12,3,0.8449987769126892,2.15834560299826
91,12,4,0.8632577061653137,2.168130924276787
92,12,5,0.8585017919540405,2.213745077712548
93,12,6,0.6963405013084412,1.4483354950281022
94,12,7,0.7309738099575043,1.5781299788612815
95,12,8,0.7495248019695282,1.5978489697875489
