datetime,month,year,polygon_id,PET,precipitation,P-PET,spei_1,spei_3,spei_6,spei_9,spei_12,spei_18
2001-01-01,1,2001,1,178.17703325173994,267.1774876532145,89.00045440147454,0.5849177949003067,,,,,
2002-01-01,1,2002,1,213.93229212860268,148.1315782549791,-65.80071387362358,-1.673552941347304,-0.3674063278648511,-1.1993337414743106,-0.4239539693534547,-0.5604382657191564,
2003-01-01,1,2003,1,181.6244786431392,189.3896540198475,7.765175376708299,-0.2588643251586631,0.14139205492794976,0.4212680542573763,0.8697668072980616,0.6781522459004279,-0.03086770462864016
2004-01-01,1,2004,1,185.3340194232222,116.42750411760062,-68.90651530562158,-1.7622483177053825,-0.60483417729893,-0.38484084624607273,0.047998731110721546,0.6441728141573229,0.699994930676345
2005-01-01,1,2005,1,177.00964998399866,158.66938729584217,-18.340262688156486,-0.657467879095819,-0.7734777327872302,0.02497262450431624,0.461117461325823,0.19404477415051852,-0.36962174851007246
2006-01-01,1,2006,1,151.1867145397045,235.21147039946584,84.02475585976134,0.5455769916873959,-1.1135774694879759,-1.2936104418822958,-1.2468429239874328,-1.799598969323993,-1.2778454372448955
2007-01-01,1,2007,1,170.18483449618023,230.63926095291973,60.4544264567395,0.34095420851574465,0.7225368663513055,0.3502234313581129,-0.8872914517461357,-0.8983055697066171,-1.6824452840358328
2008-01-01,1,2008,1,156.65250929307246,199.96558016786972,43.31307087479726,0.1702391183455852,-0.20150874789333523,0.22402472158046358,-0.23823440353064743,-0.5128727501369333,-0.618431563592571
2009-01-01,1,2009,1,108.92272754149003,394.5459295023571,285.6232019608671,1.5397465334527976,1.2837560698647243,2.0801824707038206,1.714226615563716,0.7851895053906842,0.8662891913361882
2010-01-01,1,2010,1,180.5880206823349,189.71491454914212,9.126893866807222,-0.24023380777626913,-0.32055759475255147,-0.172147835618291,0.2898188817807695,0.7135078284045299,1.6060306675691327
2011-01-01,1,2011,1,161.91620940833852,144.72624450805597,-17.189964900282547,-0.6380793334526738,-0.7500178452614609,-1.07009379428671,-1.1396761933106658,-1.3095182228136877,-1.2562863214422837
2012-01-01,1,2012,1,164.6874970964023,210.52865885277944,45.84116175637715,0.19672245512537861,1.0532305003090086,0.8894187254830712,0.848122801547189,0.6698887247932407,0.025042335374512024
2013-01-01,1,2013,1,180.15367907881736,205.23294276860543,25.079263689788064,-0.0357444273891811,-0.19836220171862046,-0.4869699875840829,-0.4428690867735568,0.13455985163305387,0.2407572093669071
2014-01-01,1,2014,1,143.36942330512449,176.12125764687855,32.75183434175406,0.05427098711786487,-0.3811521510917948,0.4178659944996631,0.7663270098093456,0.7138381318040254,0.4125957721182706
2015-01-01,1,2015,1,93.7470142338011,341.14766513804597,247.40065090424486,1.4130395955487032,1.6371691805398576,1.978557681760896,1.7481665234435981,1.1115609372984863,1.5962837012536792
2016-01-01,1,2016,1,160.3946932214141,115.83569404216749,-44.5589991792466,-1.1567927978193393,-2.090908111895562,-2.2628090784970336,-1.8650638587048558,-0.8227797346396164,0.29905012493763816
2017-01-01,1,2017,1,176.978515163064,297.9867613215465,121.0082461584825,0.8113303870202773,0.2984732167105288,-0.03502393624718573,0.3795549251681841,1.04813799743906,0.248179401598869
2018-01-01,1,2018,1,163.155600544601,231.30145177646324,68.14585123186225,0.4112631701832288,-0.3083599516674327,-0.12035660685153744,-1.1530588395459844,-1.9519898745628974,-1.3344992897232122
2019-01-01,1,2019,1,143.60750384330748,388.7212885275483,245.11378468424084,1.404869916639389,1.0169878701662138,0.327376038208067,-0.32742504377800896,-1.540544033820234,-1.294292502603962
2020-01-01,1,2020,1,167.43011595079864,100.66767702507786,-66.76243892572077,-1.7005543602095414,1.203037421911712,0.787745828732891,0.8969631377611593,0.9326590372257995,1.1951687310038523
2021-01-01,1,2021,1,133.31614641845226,282.70940101658925,149.393254598137,0.98028868643329,1.2477559631188693,0.5720104782036463,0.7210349800533864,0.5872614676668849,0.7790561322465028
2022-01-01,1,2022,1,196.04270823559034,156.04599580029026,-39.99671243530008,-1.060974268246496,-1.5531045216448147,-1.0833651243713245,-1.086793638542468,-0.3694813288505353,-0.3964771524473517
2001-02-01,2,2001,1,163.17645390617727,127.23927334183827,-35.937180564339,-1.1595408577403359,,,,,
2002-02-01,2,2002,1,121.9410603349859,189.44766478985548,67.50660445486957,0.15207664107864327,-0.4702975530628389,-0.6294148525073194,-0.6656367499016792,-0.4713467721419095,
2003-02-01,2,2003,1,95.49166599909465,247.88489438034594,152.39322838125128,1.172250113143876,0.6580608503625271,0.8535702059676306,1.0375530439201155,0.9526000907478185,0.3682147456282701
2004-02-01,2,2004,1,153.6712463871172,130.22318143583834,-23.448064951278866,-1.0130464127477907,-1.637963456182835,-1.53142527570639,-0.8009835126329303,-0.07458724424061208,0.2340328133985528
2005-02-01,2,2005,1,152.34043423646418,193.26346214835843,40.92302791189425,-0.19725022363957934,-0.752334489840666,0.008836574010927585,0.5554404415396396,0.0923203920106469,-0.7414372123798023
2006-02-01,2,2006,1,152.42540944417317,166.47233606229227,14.046926618119102,-0.5475915601628121,-0.9459038206496175,-1.2074599193113795,-1.7732326099644034,-1.4176195370570168,-1.3210374583440623
2007-02-01,2,2007,1,168.28987901318305,100.12489231303334,-68.16498670014971,-1.515809095886591,-0.17885038716929805,-0.2900142211167851,-0.7722582540216436,-1.3395492083608762,-1.6633563163925842
2008-02-01,2,2008,1,167.75307172524114,168.680395661504,0.9273239362628658,-0.7143805824498024,-0.41842971452012423,-0.18961981369266392,-0.18939004302145163,-0.5729621666017858,-0.787054250916675
