,time,datetime,month,year,longitude,latitude,precipitation,PET,polygon_id
0,978307200000,2001-01-01,1,2001,-74.3355897608904,-2.021209389268923,308.5063626766205,161.14833609263104,1
3168,978307200000,2001-01-01,1,2001,-74.3355897608904,-0.6737364630896411,186.82629930973053,200.00054322118342,1
2904,978307200000,2001-01-01,1,2001,-72.98811683471112,-1.1228941051494017,228.27981579303741,186.64021533468497,1
2640,978307200000,2001-01-01,1,2001,-73.43727447677088,-1.1228941051494017,255.06395745277405,186.5683345158895,1
2376,978307200000,2001-01-01,1,2001,-73.88643211883064,-1.1228941051494017,264.8581425398588,187.39837136475936,1
3696,978307200000,2001-01-01,1,2001,-73.43727447677088,-0.6737364630896411,203.26168143749237,186.6974972407023,1
2112,978307200000,2001-01-01,1,2001,-74.3355897608904,-1.1228941051494017,231.76004201173782,197.18695549342942,1
1848,978307200000,2001-01-01,1,2001,-72.98811683471112,-1.5720517472091626,289.4491541534662,168.9500014781952,1
1584,978307200000,2001-01-01,1,2001,-73.43727447677088,-1.5720517472091626,336.222867757082,172.63750219345093,1
1320,978307200000,2001-01-01,1,2001,-73.88643211883064,-1.5720517472091626,332.20006760954857,166.65083491007485,1
3960,978307200000,2001-01-01,1,2001,-72.98811683471112,-0.6737364630896411,208.7368337661028,190.12771546322367,1
1056,978307200000,2001-01-01,1,2001,-74.3355897608904,-1.5720517472091626,286.9127275645733,192.39375591278076,1
792,978307200000,2001-01-01,1,2001,-72.98811683471112,-2.021209389268923,308.202415086329,114.3125,1
528,978307200000,2001-01-01,1,2001,-73.43727447677088,-2.021209389268923,318.5671216249466,168.40750137964886,1
264,978307200000,2001-01-01,1,2001,-73.88643211883064,-2.021209389268923,313.01818430423737,171.998336092631,1
3432,978307200000,2001-01-01,1,2001,-73.88643211883064,-0.6737364630896411,202.97412936389446,199.7141313345536,1
3433,980985600000,2001-02-01,2,2001,-73.88643211883064,-0.6737364630896411,73.33310951292515,177.72221777174207,1
2905,980985600000,2001-02-01,2,2001,-72.98811683471112,-1.1228941051494017,105.31235033273697,157.7333375612895,1
2377,980985600000,2001-02-01,2,2001,-73.88643211883064,-1.1228941051494017,103.49912276118994,176.2833315531413,1
793,980985600000,2001-02-01,2,2001,-72.98811683471112,-2.021209389268923,211.63814041018486,116.20000267028809,1
529,980985600000,2001-02-01,2,2001,-73.43727447677088,-2.021209389268923,188.4218374788761,159.0166717105442,1
3961,980985600000,2001-02-01,2,2001,-72.98811683471112,-0.6737364630896411,72.16002669930458,174.3388885921902,1
