,month,polygon_id,precipitation,temperature,radiation
0,1,1,213.59528552308075,29.411845647467604,15135080.048734056
1,1,2,281.4535424524814,28.69476754968062,14893656.09550353
2,1,3,250.9580225488652,28.530087121480392,14285228.393881453
3,1,4,191.83162162429318,27.629550192122988,13884135.096541787
4,1,5,312.04801404093945,28.18350467164082,15025328.461383343
5,1,6,234.02378885090343,31.78602819119486,17660681.611815702
6,1,7,133.5502139788891,32.0119019425993,18691528.420154538
7,1,8,82.22168679442785,30.791142288728306,19357056.469960406
8,2,1,217.7700991151142,29.23384141338025,14133018.938457673
9,2,2,307.37964910525534,29.481368633186392,14877606.834104663
10,2,3,229.3657034613991,28.64724479475916,13938189.512884455
11,2,4,205.7836351325003,27.114611735330865,13423135.889138578
12,2,5,314.001782981547,27.825822301511092,14746138.966378482
13,2,6,222.87528166740037,30.91882427297839,16443304.708595388
14,2,7,154.3212737247836,30.6615716570984,17748659.37942441
15,2,8,103.83369282001962,30.487511039692986,18610392.16621147
16,3,1,380.75721047988526,29.777048965091165,14012402.10849166
17,3,2,293.79852221653397,29.70437462797622,14639899.813040597
18,3,3,272.5621846659087,28.929874159959653,14415672.712646427
19,3,4,350.3456704801971,28.344731553919345,14015187.745887022
20,3,5,388.03968247157826,28.01674213423892,14660952.77789033
21,3,6,210.2643152680831,30.186313097617653,16685890.826061226
22,3,7,112.39381798312274,29.038777393587416,17392265.082251832
23,3,8,74.64419106505106,30.071244028740796,16749777.94243935
24,4,1,397.4358101117442,29.78736241288155,13002499.652487382
25,4,2,324.01799986220044,29.13601353013533,13499624.917896679
26,4,3,360.22353048689814,27.85550311041994,12369778.15940902
27,4,4,368.41037492240554,27.495949057065914,11971442.39235856
28,4,5,209.4027284078123,27.025986494340064,15090288.329827063
29,4,6,138.02644509014718,29.94434795946344,16485411.676920598
30,4,7,72.1657523261035,29.38957423052762,16693972.25974026
31,4,8,49.860267140685046,28.36230719377396,14036906.265096217
32,5,1,339.72803384258856,27.861430205949684,11843465.066361556
33,5,2,410.29863091687866,27.66442672080436,11526145.353828305
34,5,3,316.55505404323293,27.922093523989986,11455940.174297443
35,5,4,382.13971573140475,27.25859687500003,11731804.92125
36,5,5,66.28630685531269,27.25000756795259,15644002.123125
37,5,6,9.337764842727728,29.4774048079746,16216015.733333332
38,5,7,5.029407799032489,30.215882117850192,15982049.932692308
39,5,8,18.91534483664249,26.7351014236332,12477759.578496043
40,6,1,304.55283355885217,27.108682479463585,11824531.837089935
41,6,2,276.42475362484504,27.194766555601863,12587534.45272803
42,6,3,184.89542960476257,27.820690437345366,13318310.52815534
43,6,4,260.0597406900295,26.846119027794327,14058862.471690258
44,6,5,13.658802218195142,27.0389094258455,15597720.2534375
45,6,6,1.6161772701394757,29.87536537892675,15847397.470192308
46,6,7,1.0516996070491953,30.74000234359642,15864336.827884614
47,6,8,7.319367050298296,25.65312463239888,11740938.4375
48,7,1,319.43374629394174,27.081458814932937,12742789.180151455
49,7,2,242.26498981375093,27.850538381516905,13245094.13276884
50,7,3,159.87742891780982,28.252285554411078,14851336.350337466
51,7,4,164.7464815122903,27.786652944690143,15523070.715806196
52,7,5,1.7508229832173512,27.831999601017877,16941542.7365625
53,7,6,0.5888362957095057,31.044740110696488,16768707.854807692
54,7,7,0.2902277367914984,32.05047876327047,16729574.757371794
55,7,8,16.364836551457504,26.102376738805447,11898805.599013157
56,8,1,239.22211885833678,28.497805363551674,14685564.248600224
57,8,2,179.89007781566136,28.81799152212812,15123928.600132188
58,8,3,97.64730597440153,28.88282621253826,16580179.4959375
59,8,4,129.1417107190692,28.599527090702686,17498148.61788618
60,8,5,9.443618658976629,29.36882584833885,18063157.223125
61,8,6,0.21730848827174692,34.47750328235076,18314844.643910255
62,8,7,0.0051912097403636346,34.990339165514506,18917031.09358974
63,8,8,12.014413200839764,27.88953753966463,12747362.465369394
64,9,1,212.07507478260513,29.844862117863595,13873807.100173779
65,9,2,171.57903441298473,29.42226804466548,14228070.340129325
66,9,3,152.18442983802197,29.47306712821484,14734942.488816002
67,9,4,59.44480148919294,29.215034690518397,16786532.045
68,9,5,87.39265149529287,29.858105911899887,15455734.298125
69,9,6,25.52897003589211,39.00133020593754,16776654.825200321
70,9,7,4.46327093567082,39.617200377692996,17950221.517828524
71,9,8,8.037628961727181,32.08906248695861,14636550.864426808
72,10,1,249.5853263028863,30.139919988274173,13023651.914326312
73,10,2,167.1346918520187,30.03971399861237,13518849.699490735
74,10,3,170.4905016081408,29.885966310783054,13717010.116871519
75,10,4,88.44534447194063,29.298260509343116,15879581.41209961
76,10,5,196.65613117456024,29.479831795551004,14884573.313115522
77,10,6,97.69885561410592,38.625579214736256,16204647.197508235
78,10,7,57.49383128716721,42.22642535272551,17559426.37193134
79,10,8,56.97031564714531,35.14865637792345,14372561.577640336
80,11,1,241.72134053252785,28.97952431034169,11974766.736781165
81,11,2,244.2187700317456,29.538036847767646,12710341.871436257
82,11,3,214.38604376172879,29.376148564294663,12343127.149812734
83,11,4,113.30463994762813,28.06566332581645,12116618.4986219
84,11,5,211.6025340604039,29.145560237714736,13029635.48384407
85,11,6,246.00387168180936,34.537240079803674,14280205.763112191
86,11,7,217.69933375045503,36.132361241928656,15578107.529231815
87,11,8,180.41257474329012,31.947573743264137,14364864.622944476
88,12,1,279.29944541052475,28.920051570708722,14207491.334834352
89,12,2,205.82025451112614,28.330848898598244,13791578.158383397
90,12,3,322.71704021977234,28.446314766170524,13345466.849599246
91,12,4,203.64378239764395,27.399907206693317,14445309.15687393
