,month,polygon_id,year,precipitation,ET,PET,datetime,water_deficit
679,7,5,2013,4.36814374536304,152.19490381739038,202.98669558076526,2013-07-01,-198.61855183540223
680,7,5,2014,1.5360185889922122,149.94737770631968,201.18413735749573,2014-07-01,-199.6481187685035
681,7,5,2015,4.541136733126784,150.07558613916765,201.0372735408149,2015-07-01,-196.49613680768812
682,7,5,2016,1.4976178630596004,157.8620471968395,215.12832010104927,2016-07-01,-213.63070223798968
683,7,5,2017,1.3392784240031796,150.52600820873917,206.5938179633035,2017-07-01,-205.25453953930034
684,7,5,2018,1.3534581147120273,152.3176790194799,213.18859824879556,2018-07-01,-211.83514013408353
685,7,5,2019,1.4229281459071506,155.57592192987113,209.60711855803626,2019-07-01,-208.1841904121291
686,7,5,2020,1.897782471381666,154.03934141446496,208.082575242663,2020-07-01,-206.18479277128134
687,7,5,2021,2.6245909413382438,152.91518616520585,206.95032676396465,2021-07-01,-204.3257358226264
688,7,5,2022,1.0754929599115404,155.52413663813454,211.0391193633345,2022-07-01,-209.96362640342295
689,7,6,2010,0.02620694450002598,42.143181749295515,201.21792324218535,2010-07-01,-201.19171629768533
690,7,6,2011,0.0,48.026812857419614,196.80057452395542,2011-07-01,-196.80057452395542
691,7,6,2012,0.0,33.8741440451755,212.749801901305,2012-07-01,-212.749801901305
692,7,6,2013,0.12757982206990226,44.76286916352148,202.27963507699246,2013-07-01,-202.15205525492257
693,7,6,2014,0.11848215528370179,53.25100247163482,194.06051790251067,2014-07-01,-193.94203574722695
694,7,6,2015,0.8558692748936796,56.691250111897716,190.41349085471128,2015-07-01,-189.5576215798176
695,7,6,2016,0.11464829440273676,27.802665289787985,217.98003724179117,2016-07-01,-217.86538894738842
696,7,6,2017,0.057199367477047826,36.68809251895013,209.46645115071067,2017-07-01,-209.40925178323363
697,7,6,2018,0.0,45.24285715872787,204.20043551211333,2018-07-01,-204.20043551211333
698,7,6,2019,0.0010711804733669888,42.78200408900249,203.8712686264465,2019-07-01,-203.87019744597313
699,7,6,2020,1.9730504643444662,57.01694357196809,191.988697831128,2020-07-01,-190.01564736678355
700,7,6,2021,0.36022757253339216,33.82658031833274,212.06530086191444,2021-07-01,-211.70507328938103
701,7,6,2022,0.023387847100534747,40.24628895086198,206.86208655297528,2022-07-01,-206.83869870587475
702,7,7,2010,0.0,32.30328500526661,212.50236168984034,2010-07-01,-212.50236168984034
703,7,7,2011,0.031803413709768885,46.861427776553064,202.03820732503053,2011-07-01,-202.00640391132075
704,7,7,2012,0.0,19.128254377002442,228.14115478686875,2012-07-01,-228.14115478686875
