,month,polygon_id,year,datetime,date,precipitation,radiation,temperature,fpar,PET,P-PET
485,3,7,2002,2002-03-01,03-02,52.13601382540969,19018683.668269232,30.538314296814328,70.75037257824143,246.0712267698184,-193.9352129444087
486,3,7,2003,2003-03-01,03-03,149.30190003819953,16869514.91794872,30.374811444194933,69.81603330987568,227.84030558402097,-78.53840554582143
487,3,7,2004,2004-03-01,03-04,200.67069245897807,16203938.574679486,27.39729332521007,76.85004340277779,252.87020250275444,-52.19951004377637
488,3,7,2005,2005-03-01,03-05,117.80475221623978,16356871.25576923,28.234030744828083,73.01678196259287,228.80057184344182,-110.99581962720204
489,3,7,2006,2006-03-01,03-06,228.9964209926816,14939123.285576923,29.25465989404967,71.87192353643967,232.8119919057513,-3.815570913069706
490,3,7,2007,2007-03-01,03-07,37.40699590490414,20092002.957692306,29.341938814886255,75.39443019029292,260.2060934042501,-222.79909749934598
491,3,7,2008,2008-03-01,03-08,189.75192871429982,15975082.533333333,29.163246077978147,71.50855072463767,232.9621146645179,-43.21018595021809
492,3,7,2009,2009-03-01,03-09,167.03315490224423,17232024.650961537,28.562418909082403,68.88118454315638,210.49857400960354,-43.46541910735931
493,3,7,2010,2010-03-01,03-10,158.57394213256163,17475011.083653845,30.333552143156016,71.74300624058533,229.79511223392473,-71.2211701013631
494,3,7,2011,2011-03-01,03-11,257.33963561485973,16134102.38878205,28.0661248860529,70.74519427402863,204.38899106672181,52.950644548137916
495,3,7,2012,2012-03-01,03-12,64.55785136715724,19233322.592628203,32.711159574489756,60.72859130807108,243.9709606368274,-179.41310926967017
496,3,7,2013,2013-03-01,03-13,101.91909737808582,18310921.441666666,33.75542052945632,65.49141839378238,245.6075086560791,-143.68841127799328
497,3,7,2014,2014-03-01,03-14,132.24466272951702,17770881.033333335,29.426012689243464,67.67285422343325,228.17167137267828,-95.92700864316126
498,3,7,2015,2015-03-01,03-15,114.91188068733766,17940458.426282052,31.126654782717313,67.39600317028986,228.37039043059076,-113.4585097432531
499,3,7,2016,2016-03-01,03-16,48.767418595307916,19189227.64102564,32.278523735796874,69.47263281919452,253.27974464513204,-204.51232604982414
500,3,7,2017,2017-03-01,03-17,161.55367646110363,17673212.17019231,30.246873700624214,69.18934278640559,223.49544574872976,-61.94176928762613
501,3,7,2018,2018-03-01,03-18,192.3743500899428,16915114.39551282,28.717175331200558,74.21368917937545,229.36215268419488,-36.98780259425209
502,3,7,2019,2019-03-01,03-19,157.15874804430283,17534932.017948717,29.891818592660933,70.5365774003919,236.4106965143475,-79.25194847004468
503,3,7,2020,2020-03-01,03-20,185.9100826711991,14272907.515064102,28.005538881309718,77.50564971751412,219.0987330682281,-33.18865039702902
504,3,7,2021,2021-03-01,03-21,40.60756980343125,19469532.439102564,29.25599806191695,72.0169452181987,243.76226427710748,-203.15469447367622
505,3,7,2022,2022-03-01,03-22,71.41297679153773,18114898.081089742,28.939431111259236,75.47663652024117,253.97808948390085,-182.56511269236313
506,3,8,2001,2001-03-01,03-01,81.0186695234556,16875463.400657896,29.154708119098057,70.53118648373984,225.20588390775495,-144.18721438429935
507,3,8,2002,2002-03-01,03-02,60.717627394042516,16913804.8125,27.038220554711277,69.36578947368422,196.61349807633596,-135.89587068229343
508,3,8,2003,2003-03-01,03-03,58.30493071024355,17297856.832894735,32.14641572732155,66.88241379310345,233.83026543522692,-175.52533472498337
509,3,8,2004,2004-03-01,03-04,269.68855246791713,13907702.076973684,25.635194504699957,61.742592592592594,201.22467536560666,68.46387710231048
510,3,8,2005,2005-03-01,03-05,90.17309660707649,15837018.685526315,28.090524064853852,69.3013888888889,229.98356997705156,-139.81047336997506
511,3,8,2006,2006-03-01,03-06,239.06446234991677,14680577.030921053,29.203920701168645,65.22535211267606,204.62393346678456,34.4405288831322
512,3,8,2007,2007-03-01,03-07,30.447617590897963,17756722.61842105,28.179194780946865,72.95992647058823,256.59579088498094,-226.148173294083
513,3,8,2008,2008-03-01,03-08,130.41308185411128,16434912.532894736,28.7914152709728,69.72306689834926,234.9584832249818,-104.54540137087051
514,3,8,2009,2009-03-01,03-09,98.49395458541419,17850402.51118421,31.098447009094734,63.12984496124031,238.53097792126144,-140.03702333584727
515,3,8,2010,2010-03-01,03-10,251.18465585363538,15117331.665131578,28.391401661782243,67.73107321131448,215.34636908908328,35.838286764552095
516,3,8,2011,2011-03-01,03-11,167.6465064840097,14584849.124342104,27.529783192090424,70.23093841642229,210.2162889377115,-42.569782453701805
517,3,8,2012,2012-03-01,03-12,37.60610997512153,17483590.498026315,30.99017270787879,63.55860102420857,226.41153699116066,-188.80542701603912
518,3,8,2013,2013-03-01,03-13,60.114826334071786,18072667.172368422,32.53388526524648,65.4523559598787,239.11297844946793,-178.99815211539615
519,3,8,2014,2014-03-01,03-14,70.16571854211782,16210548.839473683,30.415658174097693,59.948,198.63400178100102,-128.4682832388832
520,3,8,2015,2015-03-01,03-15,159.65215535591307,17817235.27631579,29.01856996547517,67.07496438746439,218.59285140638355,-58.94069605047048
521,3,8,2016,2016-03-01,03-16,21.223251864470935,18469421.111842107,32.16009115928108,63.33346446367689,248.4623420855866,-227.23909022111567
522,3,8,2017,2017-03-01,03-17,68.86502162845511,17221506.275657896,30.378870810657624,63.47937212360289,226.1824585948286,-157.3174369663735
523,3,8,2018,2018-03-01,03-18,91.44685007451396,17148224.52631579,28.832329345775868,71.52246130615328,242.8566010097668,-151.40975093525282
524,3,8,2019,2019-03-01,03-19,93.2328150805674,16638641.267105263,32.949530075188,66.89259906759906,234.52654377301567,-141.29372869244827
525,3,8,2020,2020-03-01,03-20,155.00204363877052,12598051.671710527,27.57981145499825,66.65778517901748,215.3997781210193,-60.39773448224878
526,3,8,2021,2021-03-01,03-21,44.88395453950292,18887955.714473683,30.597103466507935,69.63843444671666,247.40930076923183,-202.5253462297289
527,3,8,2022,2022-03-01,03-22,37.27106135581669,17258739.859868422,28.131470248406753,68.25437037037038,232.0507226844273,-194.77966132861062
528,4,1,2001,2001-04-01,04-01,304.203537468359,13527969.36828806,28.68789804469277,81.7872340425532,116.60339247296075,187.60014499539824
529,4,1,2002,2002-04-01,04-02,335.28084369573276,12636700.910928616,28.4965189873418,86.52013422818791,103.20582006154612,232.07502363418664
530,4,1,2003,2003-04-01,04-03,425.0958759435279,12336196.928616552,28.344981273408266,83.94372990353698,125.62993963987178,299.4659363036561
531,4,1,2004,2004-04-01,04-04,335.6608606612313,14293705.834491473,28.528325387365943,83.11683277962348,138.54730649152006,197.11355416971125
532,4,1,2005,2005-04-01,04-05,360.51949776371146,12161536.020214781,27.99949579831936,79.85576923076923,116.78455939439246,243.734938369319
533,4,1,2006,2006-04-01,04-06,327.24546150625014,13082899.71699305,27.756532690246544,83.67418546365914,129.58525305240312,197.66020845384702
534,4,1,2007,2007-04-01,04-07,363.62597098865615,13019055.451674037,27.47989779874217,84.63915416098226,144.57430141332335,219.0516695753328
