,month,year,polygon_id,pai
181,7,2021,6,0.32415327
182,7,2021,7,0.223039745
183,7,2021,8,0.518306625
184,8,2019,1,4.19395035
185,8,2019,2,4.1688222
186,8,2019,3,3.7152484
187,8,2019,4,4.06745435
188,8,2019,5,3.3790152
189,8,2019,6,0.22553335
190,8,2019,7,0.147366895
191,8,2019,8,0.237298345
192,8,2020,1,3.0636971500000003
193,8,2020,2,3.76169895
194,8,2020,4,3.994421
195,8,2020,5,3.37809645
196,8,2020,6,0.26279017
197,8,2020,7,0.1728963
198,8,2020,8,0.33458722
199,8,2021,1,3.84288
200,8,2021,2,3.6388741
201,8,2021,3,3.3551054
202,8,2021,4,3.8363287
203,8,2021,5,3.5285988
204,8,2021,6,0.24999833500000002
205,8,2021,7,0.173150575
206,8,2021,8,0.28907783
207,9,2019,1,3.9782789
208,9,2019,2,3.6289885
209,9,2019,3,4.1133625
210,9,2019,4,4.1802454
211,9,2019,5,3.48694015
212,9,2019,6,0.18452345
213,9,2019,7,0.157729755
214,9,2019,8,0.259551
215,9,2020,1,3.8614428
216,9,2020,2,3.7222065
217,9,2020,4,3.91492105
218,9,2020,5,3.4165673500000002
219,9,2020,6,0.198694265
220,9,2020,7,0.14351575
221,9,2020,8,0.3121779
222,9,2021,1,3.94717535
223,9,2021,2,3.4789045
224,9,2021,3,3.9866118
225,9,2021,4,3.7547283
226,9,2021,5,3.088572
227,9,2021,6,0.186020915
228,9,2021,7,0.15146132
229,9,2021,8,0.217691565
230,10,2019,1,3.6539266
231,10,2019,2,3.5933622
232,10,2019,3,3.74858
233,10,2019,4,3.7431378
234,10,2019,5,3.19808
235,10,2019,6,0.28341985
236,10,2019,7,0.20386083
237,10,2019,8,0.25207102
238,10,2020,1,2.2901896500000003
239,10,2020,2,2.981376
240,10,2020,4,3.81097005
241,10,2020,5,3.1933724
242,10,2020,6,0.288172055
243,10,2020,7,0.17197106499999998
244,10,2020,8,0.2828076
245,10,2021,2,3.71508785
246,10,2021,3,2.9484413
247,10,2021,4,3.71049
248,10,2021,5,3.2413298
249,10,2021,6,0.46049497
250,10,2021,7,0.1113237
251,10,2021,8,0.27417135
252,11,2019,1,3.87154365
253,11,2019,2,3.9370678000000003
254,11,2019,3,4.158965
255,11,2019,4,4.01266335
256,11,2019,5,2.4049329999999998
257,11,2019,6,0.3894566
258,11,2019,7,0.2430959
259,11,2019,8,0.2376575
260,11,2020,1,3.759165
261,11,2020,2,3.0368279
262,11,2020,3,2.3598337
263,11,2020,4,3.69753765
264,11,2020,5,3.0847216
265,11,2020,6,0.5277422
266,11,2020,7,0.281428615
267,11,2020,8,0.54966
268,11,2021,1,3.81571775
269,11,2021,2,3.2121916
270,11,2021,3,3.6880724
271,11,2021,4,3.460076
272,11,2021,5,2.9355776000000002
273,11,2021,6,0.37715682
274,11,2021,7,0.20957082
275,11,2021,8,0.168440055
276,12,2019,1,4.12619925
277,12,2019,2,2.956192
278,12,2019,3,3.0195043
279,12,2019,4,3.3867088
280,12,2019,5,3.1333356
281,12,2019,6,0.40143833
282,12,2019,7,0.27770808
283,12,2019,8,0.30828294
284,12,2020,1,3.5189667
285,12,2020,2,3.4310941
286,12,2020,3,3.2226827
287,12,2020,4,3.8017826
288,12,2020,5,2.642586
289,12,2020,6,0.4630435
290,12,2020,7,0.22530466
291,12,2020,8,0.508969
292,12,2021,1,3.7286997
293,12,2021,2,3.1515763000000003
294,12,2021,4,3.2627497
295,12,2021,5,3.1115674
296,12,2021,6,0.42001742
297,12,2021,7,0.15754814
298,12,2021,8,0.36364526
