,pai,rh100,year,month,polygon_id,number,datetime,date
171,4.246187595006213,2671.245862226874,2021.0,2.0,2.0,21238,2021-02-01,02-21
179,4.150389777936525,2540.5686375740447,2021.0,3.0,2.0,14215,2021-03-01,03-21
186,4.072458405929632,2826.051458131655,2021.0,4.0,2.0,1349,2021-04-01,04-21
193,4.06408702471448,2697.058089712964,2021.0,5.0,2.0,17492,2021-05-01,05-21
201,4.082309688248159,2692.978111748566,2021.0,6.0,2.0,33905,2021-06-01,06-21
209,4.144220122546646,2602.2137267497883,2021.0,7.0,2.0,12747,2021-07-01,07-21
217,4.12150377263844,2624.2324573950714,2021.0,8.0,2.0,21842,2021-08-01,08-21
225,4.133029615555064,2624.2963719321483,2021.0,9.0,2.0,14349,2021-09-01,09-21
232,4.026748037677175,2476.5709058943717,2021.0,10.0,2.0,18163,2021-10-01,10-21
240,4.009337268999966,2485.31295683241,2021.0,11.0,2.0,9579,2021-11-01,11-21
248,3.9561601042830716,2496.8601622947726,2021.0,12.0,2.0,2767,2021-12-01,12-21
255,4.009920567083626,2563.3796638306703,2022.0,1.0,2.0,14149,2022-01-01,01-22
263,4.02714661048113,2559.566752288744,2022.0,2.0,2.0,7179,2022-02-01,02-22
271,3.9474173136979025,2407.1753098556933,2022.0,3.0,2.0,9038,2022-03-01,03-22
278,3.8968075365261763,2423.436015110362,2022.0,4.0,2.0,12264,2022-04-01,04-22
286,3.8554405099012734,2409.708476492846,2022.0,5.0,2.0,10729,2022-05-01,05-22
307,,,2022.0,6.0,2.0,0,2022-06-01,06-22
2,,,2019.0,4.0,3.0,1314,2019-04-01,04-19
10,4.289623041619508,2724.586385572771,2019.0,5.0,3.0,9214,2019-05-01,05-19
18,4.341205578592134,2760.2436270838534,2019.0,6.0,3.0,28842,2019-06-01,06-19
26,4.344498344560732,2758.639485749006,2019.0,7.0,3.0,34046,2019-07-01,07-19
34,4.374282816798629,2773.0034950630575,2019.0,8.0,3.0,9528,2019-08-01,08-19
42,4.243877079330993,2689.403158378181,2019.0,9.0,3.0,31675,2019-09-01,09-19
50,4.291400813000294,2695.077062327657,2019.0,10.0,3.0,43714,2019-10-01,10-19
58,4.226857250795813,2643.8497674418604,2019.0,11.0,3.0,19625,2019-11-01,11-19
66,4.410783454045121,2658.3640080815853,2019.0,12.0,3.0,1161,2019-12-01,12-19
74,3.6207631775664892,2249.2557624113474,2020.0,1.0,3.0,2,2020-01-01,01-20
82,4.031178286511753,2532.6410849952517,2020.0,2.0,3.0,1093,2020-02-01,02-20
90,4.031251139911552,2532.6549922830345,2020.0,3.0,3.0,15753,2020-03-01,03-20
310,4.124819161629065,2630.9245854591836,2020.0,4.0,3.0,0,2020-04-01,04-20
